size,i,time,type
600,1,3.99e-7,v
600,2,4.99e-7,v
600,3,4.0e-7,v
600,4,4.0e-7,v
600,5,5.0e-7,v
600,6,5.0e-7,v
600,7,4.99e-7,v
600,8,5.0e-7,v
600,9,5.01e-7,v
600,10,4.99e-7,v
600,1,0.0012846,m
600,2,0.0013718,m
600,3,0.0206862,m
600,4,0.0011828,m
600,5,0.001177401,m
600,6,0.001383799,m
600,7,0.001561201,m
600,8,0.001478,m
600,9,0.001410399,m
600,10,0.0036167,m
700,1,1.7e-6,v
700,2,5.99e-7,v
700,3,5.0e-7,v
700,4,5.0e-7,v
700,5,5.01e-7,v
700,6,5.0e-7,v
700,7,3.99e-7,v
700,8,5.0e-7,v
700,9,5.99e-7,v
700,10,4.0e-7,v
800,1,5.99e-7,v
800,2,8.0e-7,v
800,3,7.0e-7,v
800,4,8.0e-7,v
800,5,6.0e-7,v
800,6,6.0e-7,v
800,7,5.0e-7,v
800,8,6.0e-7,v
800,9,5.99e-7,v
800,10,5.0e-7,v
800,1,0.0020081,m
800,2,0.002098101,m
800,3,0.0059471,m
800,4,0.0019926,m
800,5,0.0020971,m
800,6,0.002190699,m
800,7,0.002189801,m
800,8,0.0019922,m
800,9,0.002100701,m
800,10,0.002136399,m
900,1,7.0e-7,v
900,2,7.0e-7,v
900,3,7.0e-7,v
900,4,6.0e-7,v
900,5,6.01e-7,v
900,6,6.0e-7,v
900,7,6.0e-7,v
900,8,6.0e-7,v
900,9,8.0e-7,v
900,10,7.0e-7,v
1000,1,9.0e-7,v
1000,2,9.0e-7,v
1000,3,8.0e-7,v
1000,4,8.0e-7,v
1000,5,2.9e-6,v
1000,6,1.801e-6,v
1000,7,7.99e-7,v
1000,8,9.01e-7,v
1000,9,8.0e-7,v
1000,10,8.0e-7,v
1000,1,0.004769801,m
1000,2,0.0061834,m
1000,3,0.0063809,m
1000,4,0.0038717,m
1000,5,0.0044263,m
1000,6,0.004179699,m
1000,7,0.005208999,m
1000,8,0.0055324,m
1000,9,0.0047489,m
1000,10,0.003804001,m
1100,1,8.0e-7,v
1100,2,8.0e-7,v
1100,3,8.0e-7,v
1100,4,9.0e-7,v
1100,5,9.01e-7,v
1100,6,8.99e-7,v
1100,7,1.3e-6,v
1100,8,1.3e-6,v
1100,9,9.0e-7,v
1100,10,1.5e-6,v
1200,1,8.99e-7,v
1200,2,9.0e-7,v
1200,3,8.99e-7,v
1200,4,9.01e-7,v
1200,5,1.0e-6,v
1200,6,9.0e-7,v
1200,7,9.99e-7,v
1200,8,9.0e-7,v
1200,9,8.99e-7,v
1200,10,1.4e-6,v
1200,1,0.009409199,m
1200,2,0.0111685,m
1200,3,0.0052442,m
1200,4,0.0087779,m
1200,5,0.0049504,m
1200,6,0.008524499,m
1200,7,0.0050126,m
1200,8,0.0084708,m
1200,9,0.005016899,m
1200,10,0.008574,m
1300,1,1.0e-6,v
1300,2,9.0e-7,v
1300,3,8.01e-7,v
1300,4,8.0e-7,v
1300,5,9.0e-7,v
1300,6,9.0e-7,v
1300,7,9.0e-7,v
1300,8,9.0e-7,v
1300,9,9.0e-7,v
1300,10,8.0e-7,v
1400,1,9.0e-7,v
1400,2,8.99e-7,v
1400,3,9.01e-7,v
1400,4,1.0e-6,v
1400,5,1.0e-6,v
1400,6,9.99e-7,v
1400,7,1.001e-6,v
1400,8,1.101e-6,v
1400,9,8.0e-7,v
1400,10,1.1e-6,v
1400,1,0.0073763,m
1400,2,0.010579999,m
1400,3,0.0073727,m
1400,4,0.0081318,m
1400,5,0.007412899,m
1400,6,0.008422899,m
1400,7,0.0073808,m
1400,8,0.007743399,m
1400,9,0.0072868,m
1400,10,0.008349101,m
1500,1,1.099e-6,v
1500,2,1.099e-6,v
1500,3,1.101e-6,v
1500,4,1.0e-6,v
1500,5,1.1e-6,v
1500,6,9.01e-7,v
1500,7,1.099e-6,v
1500,8,1.0e-6,v
1500,9,1.099e-6,v
1500,10,1.099e-6,v
1600,1,1.1e-6,v
1600,2,1.2e-6,v
1600,3,1.5e-6,v
1600,4,1.1e-6,v
1600,5,1.099e-6,v
1600,6,1.1e-6,v
1600,7,1.3e-6,v
1600,8,1.2e-6,v
1600,9,1.1e-6,v
1600,10,1.499e-6,v
1600,1,0.0134594,m
1600,2,0.0131427,m
1600,3,0.0171158,m
1600,4,0.0170545,m
1600,5,0.0137602,m
1600,6,0.0140321,m
1600,7,0.017940701,m
1600,8,0.017123101,m
1600,9,0.013449301,m
1600,10,0.013390701,m
1700,1,1.2e-6,v
1700,2,1.2e-6,v
1700,3,1.101e-6,v
1700,4,1.201e-6,v
1700,5,1.2e-6,v
1700,6,1.099e-6,v
1700,7,1.2e-6,v
1700,8,1.2e-6,v
1700,9,1.2e-6,v
1700,10,1.1e-6,v
1800,1,1.2e-6,v
1800,2,1.3e-6,v
1800,3,1.3e-6,v
1800,4,1.2e-6,v
1800,5,1.3e-6,v
1800,6,1.2e-6,v
1800,7,1.3e-6,v
1800,8,1.2e-6,v
1800,9,1.299e-6,v
1800,10,1.2e-6,v
1800,1,0.0190124,m
1800,2,0.018763,m
1800,3,0.022428501,m
1800,4,0.022217799,m
1800,5,0.0223973,m
1800,6,0.0221796,m
1800,7,0.0223209,m
1800,8,0.0222905,m
1800,9,0.022180299,m
1800,10,0.0223193,m
1900,1,1.301e-6,v
1900,2,1.3e-6,v
1900,3,1.3e-6,v
1900,4,1.4e-6,v
1900,5,1.3e-6,v
1900,6,1.3e-6,v
1900,7,1.3e-6,v
1900,8,1.3e-6,v
1900,9,1.3e-6,v
1900,10,1.4e-6,v
2000,1,1.4e-6,v
2000,2,1.4e-6,v
2000,3,1.299e-6,v
2000,4,1.3e-6,v
2000,5,1.4e-6,v
2000,6,1.401e-6,v
2000,7,1.4e-6,v
2000,8,1.5e-6,v
2000,9,1.3e-6,v
2000,10,1.4e-6,v
2000,1,0.0278777,m
2000,2,0.028119999,m
2000,3,0.028701099,m
2000,4,0.024850601,m
2000,5,0.0242749,m
2000,6,0.0248239,m
2000,7,0.0245777,m
2000,8,0.024344499,m
2000,9,0.0247136,m
2000,10,0.024121899,m
2100,1,1.4e-6,v
2100,2,1.4e-6,v
2100,3,1.601e-6,v
2100,4,1.4e-6,v
2100,5,1.4e-6,v
2100,6,1.501e-6,v
2100,7,1.4e-6,v
2100,8,1.4e-6,v
2100,9,1.4e-6,v
2100,10,1.299e-6,v
2200,1,1.7e-6,v
2200,2,1.5e-6,v
2200,3,1.601e-6,v
2200,4,1.5e-6,v
2200,5,1.501e-6,v
2200,6,1.5e-6,v
2200,7,1.4e-6,v
2200,8,1.5e-6,v
2200,9,1.4e-6,v
2200,10,1.4e-6,v
2200,1,0.0308318,m
2200,2,0.0453381,m
2200,3,0.0304404,m
2200,4,0.0304362,m
2200,5,0.0305455,m
2200,6,0.0306124,m
2200,7,0.030569001,m
2200,8,0.0304726,m
2200,9,0.0306609,m
2200,10,0.0304212,m
2300,1,1.6e-6,v
2300,2,1.4e-6,v
2300,3,1.501e-6,v
2300,4,1.501e-6,v
2300,5,1.6e-6,v
2300,6,1.599e-6,v
2300,7,1.499e-6,v
2300,8,1.599e-6,v
2300,9,1.599e-6,v
2300,10,1.499e-6,v
2400,1,1.6e-6,v
2400,2,1.701e-6,v
2400,3,1.7e-6,v
2400,4,1.799e-6,v
2400,5,1.6e-6,v
2400,6,1.701e-6,v
2400,7,1.6e-6,v
2400,8,1.599e-6,v
2400,9,2.099e-6,v
2400,10,1.6e-6,v
2400,1,0.046045401,m
2400,2,0.0446221,m
2400,3,0.0446626,m
2400,4,0.044685501,m
2400,5,0.0561386,m
2400,6,0.0445252,m
2400,7,0.0446552,m
2400,8,0.0439323,m
2400,9,0.0441169,m
2400,10,0.044509,m
2500,1,1.7e-6,v
2500,2,1.701e-6,v
2500,3,1.7e-6,v
2500,4,1.6e-6,v
2500,5,1.5e-6,v
2500,6,1.601e-6,v
2500,7,1.7e-6,v
2500,8,1.7e-6,v
2500,9,1.7e-6,v
2500,10,1.6e-6,v
2600,1,1.699e-6,v
2600,2,2.0e-6,v
2600,3,1.801e-6,v
2600,4,2.2e-6,v
2600,5,1.701e-6,v
2600,6,1.599e-6,v
2600,7,1.9e-6,v
2600,8,1.699e-6,v
2600,9,1.8e-6,v
2600,10,1.7e-6,v
2600,1,0.0567111,m
2600,2,0.0573851,m
2600,3,0.0562837,m
2600,4,0.0576742,m
2600,5,0.0569354,m
2600,6,0.0579552,m
2600,7,0.0695942,m
2600,8,0.0602956,m
2600,9,0.0564845,m
2600,10,0.0574548,m
2700,1,1.801e-6,v
2700,2,1.8e-6,v
2700,3,2.0e-6,v
2700,4,1.9e-6,v
2700,5,1.801e-6,v
2700,6,1.7e-6,v
2700,7,1.799e-6,v
2700,8,2.001e-6,v
2700,9,1.799e-6,v
2700,10,1.7e-6,v
2800,1,1.7e-6,v
2800,2,2.5e-6,v
2800,3,1.8e-6,v
2800,4,1.9e-6,v
2800,5,1.8e-6,v
2800,6,1.799e-6,v
2800,7,1.799e-6,v
2800,8,1.9e-6,v
2800,9,1.9e-6,v
2800,10,2.001e-6,v
2800,1,0.0676359,m
2800,2,0.068307599,m
2800,3,0.0683977,m
2800,4,0.069233599,m
2800,5,0.0681603,m
2800,6,0.0684983,m
2800,7,0.068932199,m
2800,8,0.0814674,m
2800,9,0.0702416,m
2800,10,0.068066,m
2900,1,1.9e-6,v
2900,2,2.001e-6,v
2900,3,1.8e-6,v
2900,4,1.9e-6,v
2900,5,1.9e-6,v
2900,6,1.9e-6,v
2900,7,1.9e-6,v
2900,8,2.0e-6,v
2900,9,2.1e-6,v
2900,10,1.9e-6,v
3000,1,1.9e-6,v
3000,2,2.001e-6,v
3000,3,2.101e-6,v
3000,4,1.9e-6,v
3000,5,2.299e-6,v
3000,6,1.999e-6,v
3000,7,2.0e-6,v
3000,8,1.9e-6,v
3000,9,1.9e-6,v
3000,10,1.9e-6,v
3000,1,0.0790707,m
3000,2,0.0826481,m
3000,3,0.086365301,m
3000,4,0.0909046,m
3000,5,0.0835397,m
3000,6,0.0817034,m
3000,7,0.080103999,m
3000,8,0.0959247,m
3000,9,0.0799768,m
3000,10,0.0812816,m
3100,1,2.0e-6,v
3100,2,2.301e-6,v
3100,3,1.999e-6,v
3100,4,1.999e-6,v
3100,5,2.0e-6,v
3100,6,1.9e-6,v
3100,7,2.0e-6,v
3100,8,2.101e-6,v
3100,9,2.001e-6,v
3100,10,2.2e-6,v
